basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,ud_Nd_predicted
20171222,LG이노텍,11070,140000,144500,136000,144000,286087,0,0.0,0.0,0.0,0,
20171221,LG이노텍,11070,147500,148000,139000,139000,575472,-5000,-3.47,0.0,0.0,0,
20171220,LG이노텍,11070,149500,150000,147000,148000,201650,9000,6.47,143666.66666666663,0.0,1,
20171219,LG이노텍,11070,150000,152000,147000,148500,326946,500,0.34,145166.66666666663,1.04,0,
20171218,LG이노텍,11070,149000,150500,146500,147000,282952,-1500,-1.01,147833.33333333337,1.84,0,-1.0
20171215,LG이노텍,11070,149000,150000,147000,147000,163901,0,0.0,147500.0,-0.23,0,0.0
20171214,LG이노텍,11070,148500,153500,147500,147500,420436,500,0.34,147166.66666666663,-0.23,1,
20171213,LG이노텍,11070,147000,151000,147000,149500,286929,2000,1.36,148000.0,0.57,0,0.0
20171212,LG이노텍,11070,153000,156500,147500,148500,360906,-1000,-0.67,148500.0,0.34,0,0.0
20171211,LG이노텍,11070,154500,155500,148500,153000,366377,4500,3.03,150333.33333333337,1.23,1,
20171208,LG이노텍,11070,156000,157000,152000,154000,175032,1000,0.65,151833.33333333337,1.0,1,
20171207,LG이노텍,11070,151000,155000,148000,154500,598789,500,0.32,153833.33333333337,1.32,0,
20171206,LG이노텍,11070,159000,160000,146000,147000,772501,-7500,-4.85,151833.33333333337,-1.3,0,0.0
20171205,LG이노텍,11070,153000,159500,152500,159000,376564,12000,8.16,153500.0,1.1,0,
20171204,LG이노텍,11070,162000,163000,151000,153000,855780,-6000,-3.77,153000.0,-0.33,0,
20171201,LG이노텍,11070,162500,165500,161000,161500,300299,8500,5.56,157833.33333333337,3.16,0,0.0
20171130,LG이노텍,11070,166500,167000,160000,161000,499564,-500,-0.31,158500.0,0.42,0,-1.0
20171129,LG이노텍,11070,168500,172000,165500,169500,269194,8500,5.28,164000.0,3.47,0,
20171128,LG이노텍,11070,170000,170500,165500,169000,168037,-500,-0.29,166500.0,1.52,-1,-1.0
20171127,LG이노텍,11070,173000,175500,167500,168000,211363,-1000,-0.59,168833.33333333337,1.4,0,
20171124,LG이노텍,11070,173000,174000,170000,173000,128997,5000,2.98,170000.0,0.69,0,
20171123,LG이노텍,11070,176500,177000,171500,173000,139126,0,0.0,171333.33333333337,0.78,0,
20171122,LG이노텍,11070,178000,178000,174500,177000,207214,4000,2.31,174333.33333333337,1.75,0,0.0
20171121,LG이노텍,11070,170500,175500,168500,175500,264168,-1500,-0.85,175166.66666666663,0.48,-1,
20171120,LG이노텍,11070,172500,172500,166500,170000,196099,-5500,-3.13,174166.66666666663,-0.57,-1,
20171117,LG이노텍,11070,167000,173000,166500,169500,346935,-500,-0.29,171666.66666666663,-1.44,-1,
20171116,LG이노텍,11070,164000,166500,162000,164000,216339,-5500,-3.24,167833.33333333337,-2.23,0,
20171115,LG이노텍,11070,166500,169000,163000,164500,194507,500,0.3,166000.0,-1.09,1,
20171114,LG이노텍,11070,161500,167000,159000,166500,275480,2000,1.22,165000.0,-0.6,0,
20171113,LG이노텍,11070,170500,171000,160500,161000,530564,-5500,-3.3,164000.0,-0.61,0,
20171110,LG이노텍,11070,168500,172000,164000,171000,265610,10000,6.21,166166.66666666663,1.32,0,
20171109,LG이노텍,11070,176500,177000,169000,170000,363032,-1000,-0.58,167333.33333333337,0.7,0,
20171108,LG이노텍,11070,173000,178000,173000,175000,137415,5000,2.94,172000.0,2.79,0,
20171107,LG이노텍,11070,170500,175500,170000,175000,173198,0,0.0,173333.33333333337,0.78,0,0.0
20171106,LG이노텍,11070,174500,175000,169500,171000,178697,-4000,-2.29,173666.66666666663,0.19,0,
20171103,LG이노텍,11070,180000,181000,170000,173000,450579,2000,1.17,173000.0,-0.38,1,
20171102,LG이노텍,11070,176500,177500,172000,174000,173892,1000,0.58,172666.66666666663,-0.19,1,
20171101,LG이노텍,11070,174000,177500,170500,176500,293406,2500,1.44,174500.0,1.06,0,0.0
20171031,LG이노텍,11070,180000,183000,170500,172000,405484,-4500,-2.55,174166.66666666663,-0.19,0,
20171030,LG이노텍,11070,184000,185000,175500,178000,259767,6000,3.49,175500.0,0.77,0,
20171027,LG이노텍,11070,175000,180500,172000,178000,295323,0,0.0,176000.0,0.28,0,
20171026,LG이노텍,11070,174500,182000,173000,175000,1069598,-3000,-1.69,177000.0,0.57,-1,
