basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd
20171222,¿Ãø•≈ÿ,91120,17300,17500,16650,17250,304075,0,0.0,0.0,0.0,0
20171221,¿Ãø•≈ÿ,91120,18300,18400,17000,17300,268068,50,0.29,0.0,0.0,1
20171220,¿Ãø•≈ÿ,91120,17600,18100,17500,17600,208567,300,1.73,17383.333333333332,0.0,0
20171219,¿Ãø•≈ÿ,91120,18250,18250,17450,17550,173557,-50,-0.28,17483.333333333332,0.58,0
20171218,¿Ãø•≈ÿ,91120,18250,18450,17650,17950,174051,400,2.28,17700.0,1.24,1
20171215,¿Ãø•≈ÿ,91120,18250,18700,18100,18200,202990,250,1.39,17900.0,1.13,1
20171214,¿Ãø•≈ÿ,91120,17700,18250,17500,18250,241403,50,0.27,18133.333333333332,1.3,0
20171213,¿Ãø•≈ÿ,91120,17750,18000,17450,17650,109858,-600,-3.29,18033.333333333332,-0.55,0
20171212,¿Ãø•≈ÿ,91120,17600,17850,17150,17650,115017,0,0.0,17850.0,-1.02,0
20171211,¿Ãø•≈ÿ,91120,17650,17800,17100,17600,73470,-50,-0.28,17633.333333333332,-1.21,-1
20171208,¿Ãø•≈ÿ,91120,17400,17600,17050,17400,83901,-200,-1.14,17550.0,-0.47,0
20171207,¿Ãø•≈ÿ,91120,17650,17750,16850,17400,272088,0,0.0,17466.666666666668,-0.47,0
20171206,¿Ãø•≈ÿ,91120,18050,18500,17350,17600,290228,200,1.15,17466.666666666668,0.0,1
20171205,¿Ãø•≈ÿ,91120,18250,18500,17850,18050,190321,450,2.56,17683.333333333332,1.24,1
20171204,¿Ãø•≈ÿ,91120,17800,18400,17400,18400,257146,350,1.94,18016.666666666668,1.89,0
20171201,¿Ãø•≈ÿ,91120,17950,18350,17450,17650,265710,-750,-4.08,18033.333333333332,0.09,0
20171130,¿Ãø•≈ÿ,91120,17750,18550,17400,18000,317063,350,1.98,18016.666666666668,-0.09,0
20171129,¿Ãø•≈ÿ,91120,18200,18600,17550,17950,427247,-50,-0.28,17866.666666666668,-0.83,0
20171128,¿Ãø•≈ÿ,91120,18400,18750,17900,18200,285373,250,1.39,18050.0,1.03,1
20171127,¿Ãø•≈ÿ,91120,19100,19150,18350,18400,244198,200,1.1,18183.333333333332,0.74,1
20171124,¿Ãø•≈ÿ,91120,18900,18900,18250,18900,343599,500,2.72,18500.0,1.74,0
20171123,¿Ãø•≈ÿ,91120,19300,19450,18100,18800,416885,-100,-0.53,18700.0,1.08,0
20171122,¿Ãø•≈ÿ,91120,18700,19750,18350,19000,956333,200,1.06,18900.0,1.07,0
20171121,¿Ãø•≈ÿ,91120,18250,19250,17900,18400,752575,-600,-3.16,18733.333333333332,-0.88,-1
20171120,¿Ãø•≈ÿ,91120,18150,18850,17900,18200,485514,-200,-1.09,18533.333333333332,-1.07,-1
20171117,¿Ãø•≈ÿ,91120,18150,18450,17600,18050,694734,-150,-0.82,18216.666666666668,-1.71,0
20171116,¿Ãø•≈ÿ,91120,15600,18200,15400,18100,1341653,50,0.28,18116.666666666668,-0.55,0
20171115,¿Ãø•≈ÿ,91120,15800,15900,15200,15350,240854,-2750,-15.19,17166.666666666668,-5.24,0
20171114,¿Ãø•≈ÿ,91120,15300,15650,15200,15600,283086,250,1.63,16350.0,-4.76,0
20171113,¿Ãø•≈ÿ,91120,14900,15350,14850,15200,251834,-400,-2.56,15383.333333333334,-5.91,-1
20171110,¿Ãø•≈ÿ,91120,14750,14950,14550,14700,208351,-500,-3.29,15166.666666666666,-1.41,0
20171109,¿Ãø•≈ÿ,91120,15550,15550,14450,14700,577225,0,0.0,14866.666666666666,-1.98,0
20171108,¿Ãø•≈ÿ,91120,16300,16300,15200,15550,507226,850,5.78,14983.333333333334,0.78,1
20171107,¿Ãø•≈ÿ,91120,16350,16850,15550,16150,578307,600,3.86,15466.666666666666,3.23,1
20171106,¿Ãø•≈ÿ,91120,16100,16350,15950,16300,177739,150,0.93,16000.0,3.45,0
20171103,¿Ãø•≈ÿ,91120,16150,16450,15900,16050,241076,-250,-1.53,16166.666666666666,1.04,0
20171102,¿Ãø•≈ÿ,91120,15650,16300,15550,16300,451151,250,1.56,16216.666666666666,0.31,0
20171101,¿Ãø•≈ÿ,91120,15800,15800,15400,15600,163226,-700,-4.29,15983.333333333334,-1.44,0
20171031,¿Ãø•≈ÿ,91120,15900,15900,15500,15750,117796,150,0.96,15883.333333333334,-0.63,1
20171030,¿Ãø•≈ÿ,91120,15700,15850,15500,15850,138828,100,0.63,15733.333333333334,-0.94,0
20171027,¿Ãø•≈ÿ,91120,15100,15850,14950,15800,275745,-50,-0.32,15800.0,0.42,-1
20171026,¿Ãø•≈ÿ,91120,15100,15600,14950,15000,344789,-800,-5.06,15550.0,-1.58,0
20171025,¿Ãø•≈ÿ,91120,15850,16050,15450,15600,253047,600,4.0,15466.666666666666,-0.54,1
20171024,¿Ãø•≈ÿ,91120,15900,16000,15600,15800,194084,200,1.28,15466.666666666666,0.0,1
20171023,¿Ãø•≈ÿ,91120,15350,16050,15300,15850,684732,50,0.32,15750.0,1.83,0
20171020,¿Ãø•≈ÿ,91120,15150,15300,14800,15200,161622,-650,-4.1,15616.666666666666,-0.85,-1
20171019,¿Ãø•≈ÿ,91120,14950,15150,14850,15150,127429,-50,-0.33,15400.0,-1.39,-1
20171018,¿Ãø•≈ÿ,91120,15100,15200,14700,14950,127781,-200,-1.32,15100.0,-1.95,0
20171017,¿Ãø•≈ÿ,91120,14800,15200,14650,15150,164239,200,1.34,15083.333333333334,-0.11,0
20171016,¿Ãø•≈ÿ,91120,14950,15050,14600,14950,196291,-200,-1.32,15016.666666666666,-0.44,-1
20171013,¿Ãø•≈ÿ,91120,15300,15450,14800,14850,346605,-100,-0.67,14983.333333333334,-0.22,0
20171012,¿Ãø•≈ÿ,91120,15300,15550,15100,15400,242004,550,3.7,15066.666666666666,0.56,0
20171011,¿Ãø•≈ÿ,91120,15550,15650,15200,15300,371438,-100,-0.65,15183.333333333334,0.77,0
20171010,¿Ãø•≈ÿ,91120,15000,15600,14850,15500,508206,200,1.31,15400.0,1.43,0
20170929,¿Ãø•≈ÿ,91120,14950,15200,14700,14900,426884,-600,-3.87,15233.333333333334,-1.08,0
20170928,¿Ãø•≈ÿ,91120,14250,15000,14100,15000,692365,100,0.67,15133.333333333334,-0.66,0
20170927,¿Ãø•≈ÿ,91120,14150,14500,13950,14150,197035,-850,-5.67,14683.333333333334,-2.97,0
20170926,¿Ãø•≈ÿ,91120,13700,14150,13400,14150,196497,0,0.0,14433.333333333334,-1.7,0
